,0,1,2,3,4,5,6,7,8,9
665,"(1090.3939, 516.21814)","(1090.4751, 516.3164)","(1090.5476, 516.4099)","(1090.6276, 516.49664)","(1090.6853, 516.5595)","(1090.7751, 516.6809)","(1090.8593, 516.7815)","(1090.9352, 516.8776)","(1090.9724, 516.92145)","(1091.0164, 516.9706)"
666,"(513.72687, 90.27058)","(513.7238, 90.28167)","(513.7233, 90.28496)","(513.72565, 90.29123)","(513.72687, 90.28613)","(513.7298, 90.28679)","(513.7315, 90.28256)","(513.73596, 90.28525)","(513.73474, 90.294106)","(513.73047, 90.296)"
667,"(20.204405, 286.72437)","(20.202793, 286.72482)","(20.201744, 286.72986)","(20.197392, 286.73853)","(20.198608, 286.73654)","(20.199741, 286.73624)","(20.201172, 286.73746)","(20.200508, 286.74084)","(20.200468, 286.74158)","(20.201134, 286.7421)"
668,"(1110.0095, 219.46848)","(1110.0193, 219.47168)","(1110.0266, 219.48279)","(1110.0387, 219.48935)","(1110.0469, 219.50128)","(1110.0574, 219.50668)","(1110.0662, 219.5101)","(1110.0818, 219.51385)","(1110.0883, 219.51596)","(1110.094, 219.51819)"
669,"(417.7673, 116.87701)","(417.70712, 116.90374)","(417.84262, 116.87036)","(417.61185, 116.95003)","(417.81766, 116.93014)","(417.6488, 116.929)","(417.93466, 116.93634)","(417.702, 116.91723)","(417.70654, 116.91892)","(417.70975, 116.92001)"
670,"(195.48306, 190.5821)","(195.47177, 190.50768)","(195.46373, 190.35051)","(195.45923, 190.19162)","(195.47777, 189.95895)","(195.49641, 189.72456)","(195.48828, 189.65433)","(195.4821, 189.60231)","(195.48155, 189.56381)","(195.47586, 189.5258)"
671,"(561.92377, 97.70881)","(562.4858, 97.605095)","(563.6933, 97.12098)","(563.8291, 97.17207)","(564.361, 97.027054)","(564.8721, 96.86968)","(565.02527, 96.93429)","(565.93243, 96.45285)","(566.00415, 96.48719)","(566.33606, 96.28998)"
672,"(896.53467, 510.5727)","(896.6041, 510.64465)","(896.6705, 510.72787)","(896.7466, 510.80734)","(896.8285, 510.8622)","(897.17847, 511.17734)","(897.26135, 511.2472)","(897.3417, 511.3094)","(897.44653, 511.42078)","(897.5526, 511.5287)"
673,"(568.66223, 194.69702)","(568.5856, 194.66808)","(568.52985, 194.63506)","(568.4654, 194.60855)","(568.41876, 194.60283)","(568.3875, 194.60619)","(568.3411, 194.60638)","(568.28, 194.61734)","(568.2758, 194.60944)","(568.2581, 194.60541)"
674,"(878.1234, 102.4741)","(878.1009, 102.48204)","(879.0474, 101.4485)","(879.1135, 100.25832)","(879.1037, 100.028885)","(879.0613, 99.43973)","(879.0619, 99.43702)","(879.0591, 99.433846)","(879.03973, 99.44946)","(879.03674, 99.449196)"
